# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1784711692837880201,Sun Apr 28 22:30:00 +0000 2024,2,Shin Tae-young kembali menarik perhatian media Korea (KBS) setelah KBS menemukan foto Shin Tae-yong mengenakan seragam Korpri yang diedit seorang netizen Indonesia. https://t.co/KMgcy5NyHM,1784711692837880201,,,in,Jakarta - Indonesia,0,1,0,https://x.com/mediaindonesia/status/1784711692837880201,68930552,mediaindonesia
1784559837084586011,Sun Apr 28 12:26:35 +0000 2024,0,Percaya Diri Shin Tae-young Bisa Antar Indonesia ke Olimpiade https://t.co/OWuKUS5Wow #beritajogja #jogja #jogjaistimewa https://t.co/pLcezhDxOY,1784559837084586011,https://pbs.twimg.com/media/GMQHtxAbgAEOMUx.jpg,,in,"Yogyakarta, Indonesia",0,0,0,https://x.com/Harian_Jogja/status/1784559837084586011,118371948,Harian_Jogja
1784469305956135372,Sun Apr 28 06:26:51 +0000 2024,3,Shin Tae-young kembali menarik perhatian media Korea (KBS) setelah KBS menemukan foto Shin Tae-yong mengenakan seragam Korpri yang diedit seorang netizen Indonesia. https://t.co/KMgcy5O6xk,1784469305956135372,,,in,Jakarta - Indonesia,0,2,1,https://x.com/mediaindonesia/status/1784469305956135372,68930552,mediaindonesia
1775126159652802666,Tue Apr 02 11:40:31 +0000 2024,0,Pelatih Timnas Indonesia Shin Tae-young optimistis Indonesia akan menampilkan permainan terbaik pada ajang Piala Asia U-23 2024. Baca selengkapnya di https://t.co/Xbm7e16xVK #medsosnews #medsosid https://t.co/HMfs8eXO2Z,1775126159652802666,https://pbs.twimg.com/media/GKKD0AnacAE485W.jpg,,in,"Jl Patangpuluhan, Yogyakarta",0,0,0,https://x.com/medsosidcom/status/1775126159652802666,1600387783410864128,medsosidcom
1773869706174456148,Sat Mar 30 00:27:49 +0000 2024,0, Kehebatan pemain naturalisasi atau sentuhan Shin Tae-Young Pertanyaan bodoh seperti ini keluar dari seorang sportcaster itu udah aneh banget gimana caranya sebuah pertandingan sepak bola tanpa sentuhan seorang pelatih?????,1773869706174456148,,,in,"Jakarta Selatan, DKI Jakarta",0,0,0,https://x.com/kevinalxndrn/status/1773869706174456148,950974326576111617,kevinalxndrn
1771234428771270930,Fri Mar 22 17:56:10 +0000 2024,0,tadi makan di senopati ramee bgt ada bus indonesia ternyata ada shin tae-young makan disitu + sebelah persis ada group pebisnis fashion lokal kyk monomolly oudre dll :'D,1771234428771270930,,,in,+61,0,0,0,https://x.com/ratihmeina/status/1771234428771270930,100001998,ratihmeina
1770512102182248808,Wed Mar 20 18:05:54 +0000 2024,2,Bahaya rekan media ini bocorkan taktik Shin tae-young ke wartawan Vietnam @_vino_alvino https://t.co/rhhnyKXFdm,1770512102182248808,https://pbs.twimg.com/media/GJIfW1IaEAE564P.jpg,,in,atlantis ,0,2,0,https://x.com/ompanda48/status/1770512102182248808,239386035,ompanda48
1766043253563084966,Fri Mar 08 10:08:17 +0000 2024,0,Yakob Sayuri dan Yance Sayuri lagi-lagi masuk radar pelatih Timnas Indonesia Shin Tae-yong. Keduanya dipanggil dalam persiapan Kualifikasi Piala Dunia 2026 Zona Asia 'Kata Eks Pelatih PSM soal Duo Sayuri Dipanggil Shin Tae-young' selengkapnya https://t.co/6MNppqgucN,1766043253563084966,,,in,,0,0,0,https://x.com/heralddotID/status/1766043253563084966,1698580133068865536,heralddotID
1763184629140652082,Thu Feb 29 12:49:08 +0000 2024,0,Meski Tidak di Rekomendasikan Shin Tae-Young Cyrus Margono Tetap Rampungkan Proses Naturalisasi https://t.co/BOTTc22srB,1763184629140652082,,,in,,0,0,0,https://x.com/bisnisbandung63/status/1763184629140652082,1690969676287983616,bisnisbandung63
1760998725340848625,Fri Feb 23 12:03:08 +0000 2024,0,Shin Tae-Young Santer Dikaitkan Sebagai Calon Pelatih Timnas Korea Selatan https://t.co/QbfG1GZYhn,1760998725340848625,,,in,,0,0,0,https://x.com/bisnisbandung63/status/1760998725340848625,1690969676287983616,bisnisbandung63
